StellarType,MassMstar/Msun,LuminosityLstar/Lsun,RadiusRstar/Rsun,TempK,Color IndexB-V,Abs MagMv,Bolo CorrBC(Temp),Bolo MagMbol,Star ColorRGB 0-255
K3II,3.6,2770.0,119.0,3900.0,1.32,-2.5,-1.36,-3.86,255 220 166
K3III,2.6,253.0,35.9,3900.0,1.32,0.1,-1.36,-1.26,255 216 167
K3IV,1.7,9.22,5.19,4480.0,1.1,3.1,-0.76,2.34,255 219 167
K3V,0.7,0.335,0.99,4480.0,1.1,6.7,-0.76,5.94,255 222 195
K3VI,0.6,0.101,0.544,4480.0,1.1,8.0,-0.76,7.24,255 222 195
K4Ia0,15.0,1650000.0,3060.0,3800.0,1.36,-9.3,-1.5,-10.8,255 201 118
K4Ia,9.9,262000.0,1220.0,3800.0,1.36,-7.3,-1.5,-8.8,255 201 118
K4Ib,4.8,31500.0,422.0,3800.0,1.36,-5.0,-1.5,-6.5,255 201 118
K4II,3.8,3150.0,133.0,3800.0,1.36,-2.5,-1.5,-4.0,255 218 161
K4III,2.7,345.0,44.2,3800.0,1.36,-0.1,-1.5,-1.6,255 211 146
K4IV,1.7,10.3,5.84,4340.0,1.15,3.1,-0.88,2.22,255 218 166
K4V,0.7,0.31,1.02,4340.0,1.15,6.9,-0.88,6.02,255 216 181
K4VI,0.5,0.0936,0.558,4340.0,1.15,8.2,-0.88,7.32,255 216 181
K5Ia0,15.8,1900000.0,3460.0,3700.0,1.41,-9.3,-1.65,-10.95,255 209 154
K5Ia,10.4,301000.0,1380.0,3700.0,1.41,-7.3,-1.65,-8.95,255 209 154
K5Ib,5.0,39600.0,499.0,3700.0,1.41,-5.1,-1.65,-6.75,255 209 154
K5II,3.9,3620.0,151.0,3700.0,1.41,-2.5,-1.65,-4.15,255 216 156
K5III,2.8,435.0,52.3,3700.0,1.41,-0.2,-1.65,-1.85,255 204 138
K5IV,1.8,10.6,6.33,4200.0,1.2,3.2,-1.01,2.19,255 217 165
K5V,0.7,0.266,1.0,4200.0,1.2,7.2,-1.01,6.19,255 210 161
K5VI,0.5,0.088,0.578,4200.0,1.2,8.4,-1.01,7.39,255 210 161
K6Ia0,15.8,1850000.0,3380.0,3717.0,1.4,-9.3,-1.62,-10.92,255 208 152
K6Ia,10.6,294000.0,1350.0,3717.0,1.4,-7.3,-1.62,-8.92,255 208 152
K6Ib,5.3,42400.0,512.0,3717.0,1.4,-5.2,-1.62,-6.82,255 208 152
K6II,4.2,3530.0,148.0,3717.0,1.4,-2.5,-1.62,-4.12,255 214 152
K6III,3.0,465.0,53.6,3717.0,1.4,-0.3,-1.62,-1.92,255 206 140
K6IV,1.8,12.2,7.26,4060.0,1.26,3.2,-1.16,2.04,255 216 164
K6V,0.6,0.211,0.957,4060.0,1.26,7.6,-1.16,6.44,255 205 152
K6VI,0.5,0.0767,0.577,4060.0,1.26,8.7,-1.16,7.54,255 205 152
